text,label,start_char,end_char,source_url
Summer Olympic Games,EVENT,0,20,https://en.wikipedia.org/wiki/Summer_Olympic_Games
The Summer Olympic Games,EVENT,132,156,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Summer Olympics,EVENT,172,191,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Games of the Olympiad,EVENT,195,220,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Games,EVENT,317,322,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1896,DATE,337,341,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Athens,GPE,345,351,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Kingdom of Greece,GPE,366,387,https://en.wikipedia.org/wiki/Summer_Olympic_Games
2024,DATE,421,425,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Paris,GPE,429,434,https://en.wikipedia.org/wiki/Summer_Olympic_Games
France,GPE,436,442,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the International Olympic Committee,ORG,521,556,https://en.wikipedia.org/wiki/Summer_Olympic_Games
IOC,ORG,558,561,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Pierre de Coubertin.[1,PERSON,574,596,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1904,DATE,640,644,https://en.wikipedia.org/wiki/Summer_Olympic_Games
The Winter Olympic Games,EVENT,777,801,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Summer Olympic Games,EVENT,837,861,https://en.wikipedia.org/wiki/Summer_Olympic_Games
The Summer Olympics,EVENT,964,983,https://en.wikipedia.org/wiki/Summer_Olympic_Games
2021,DATE,1125,1129,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Summer Olympics,EVENT,1136,1151,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the United States,GPE,1311,1328,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1932,DATE,1336,1340,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1984,DATE,1342,1346,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1996,DATE,1352,1356,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Great Britain,GPE,1374,1387,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1908,DATE,1389,1393,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1948,DATE,1395,1399,https://en.wikipedia.org/wiki/Summer_Olympic_Games
2012,DATE,1405,1409,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1900,DATE,1426,1430,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1924,DATE,1432,1436,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Greece,GPE,1463,1469,https://en.wikipedia.org/wiki/Summer_Olympic_Games
2004,DATE,1480,1484,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Germany,GPE,1487,1494,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1936,DATE,1496,1500,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1972,DATE,1505,1509,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Australia,GPE,1512,1521,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1956,DATE,1523,1527,https://en.wikipedia.org/wiki/Summer_Olympic_Games
2000,DATE,1532,1536,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Japan,GPE,1543,1548,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1964,DATE,1550,1554,https://en.wikipedia.org/wiki/Summer_Olympic_Games
2020,DATE,1559,1563,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Sweden,GPE,1583,1589,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1912,DATE,1591,1595,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Belgium,GPE,1598,1605,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1920,DATE,1607,1611,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Netherlands,GPE,1614,1629,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1928,DATE,1631,1635,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Finland,GPE,1638,1645,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1952,DATE,1647,1651,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Italy,GPE,1654,1659,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1960,DATE,1661,1665,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Mexico,GPE,1668,1674,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1968,DATE,1676,1680,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Canada,GPE,1683,1689,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1976,DATE,1691,1695,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Russia,GPE,1698,1704,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1980,DATE,1706,1710,https://en.wikipedia.org/wiki/Summer_Olympic_Games
South Korea,GPE,1713,1724,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1988,DATE,1726,1730,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Spain,GPE,1733,1738,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1992,DATE,1740,1744,https://en.wikipedia.org/wiki/Summer_Olympic_Games
China,GPE,1747,1752,https://en.wikipedia.org/wiki/Summer_Olympic_Games
2008,DATE,1754,1758,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Brazil,GPE,1765,1771,https://en.wikipedia.org/wiki/Summer_Olympic_Games
2016,DATE,1773,1777,https://en.wikipedia.org/wiki/Summer_Olympic_Games
London,GPE,1780,1786,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Los Angeles,GPE,1828,1839,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Tokyo,GPE,1853,1858,https://en.wikipedia.org/wiki/Summer_Olympic_Games
every Summer Olympic Games,EVENT,1998,2024,https://en.wikipedia.org/wiki/Summer_Olympic_Games
The United States,GPE,2130,2147,https://en.wikipedia.org/wiki/Summer_Olympic_Games
USSR,GPE,2276,2280,https://en.wikipedia.org/wiki/Summer_Olympic_Games
United States,GPE,2407,2420,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the 1904 Games,EVENT,2469,2483,https://en.wikipedia.org/wiki/Summer_Olympic_Games
St. Louis,GPE,2487,2496,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Missouri,GPE,2498,2506,https://en.wikipedia.org/wiki/Summer_Olympic_Games
California,GPE,2548,2558,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Atlanta,GPE,2582,2589,https://en.wikipedia.org/wiki/Summer_Olympic_Games
