subject,subject_label,relation,object,object_label,sentence,source_url
Los Angeles,GPE,host,Games,EVENT,"London and Paris have hosted three times, while Los Angeles, Athens, and Tokyo have each hosted twice; Los Angeles will host the Games for the third time in 2028.[2]",https://en.wikipedia.org/wiki/Summer_Olympic_Games
United States,GPE,host,the Summer Olympic Games,EVENT,"Hosting
[edit]The United States has hosted the Summer Olympic Games four times: the 1904 Games in St. Louis, Missouri; the 1932 and 1984 Games in Los Angeles, California, and the 1996 Games in Atlanta",https://en.wikipedia.org/wiki/Summer_Olympic_Games
United States,GPE,host,the 1904 Games,EVENT,"Hosting
[edit]The United States has hosted the Summer Olympic Games four times: the 1904 Games in St. Louis, Missouri; the 1932 and 1984 Games in Los Angeles, California, and the 1996 Games in Atlanta",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Tokyo,GPE,host,Summer Olympic Games,EVENT,"Tokyo (1964 and 2020) and Athens (1896 and 2004, excluding 1906) have each hosted two Summer Olympic Games.",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Australia,GPE,host,the Summer Olympics,EVENT,"Australia, Germany, Greece and Japan have all hosted the Summer Olympics twice (with Australia hosting for the third time in 2032).",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Games,EVENT,be,Summer Olympics,EVENT,"The 2016 Games in Rio de Janeiro, Brazil, were the first Summer Olympics to be held in South America and the first that was held completely during the local ""winter"" season.",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Paris,GPE,host,Games,EVENT,"Paris hosted the 1924 Games, becoming the first two-time host city.",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Nazi Party,ORG,commission,Leni Riefenstahl,PERSON,The ruling Nazi Party commissioned film-maker Leni Riefenstahl to film the games.,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Jacques Rogge,PERSON,describe,Games,EVENT,"In his closing address, Jacques Rogge described the Games as ""Happy and glorious"".",https://en.wikipedia.org/wiki/Summer_Olympic_Games
U.S.,GPE,host,the Summer Olympics,EVENT,"Future Games
[edit]The 2028 Summer Olympics will be held in Los Angeles, California, United States, making it the third city (after Paris (1900,1924, 2024) and London (1908, 1948, 2012)) to host the G",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Brezhnev,PERSON,open,the Moscow Games,EVENT,"IOC records state Brezhnev opened the Moscow Games as ""President"", a title used at that time by the Chairman of the Presidium of the Supreme Soviet, or de jure head of state.",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Canada,GPE,host,Olympics,EVENT,"""Will Canada ever host another Olympics?",https://en.wikipedia.org/wiki/Summer_Olympic_Games
Paris,GPE,award,Games,EVENT,"Paris was awarded the Games at the 131st IOC Session in Lima, Peru, on 13 September 2017.",https://en.wikipedia.org/wiki/2024_Summer_Olympics
Paris 2024,EVENT,be,Olympics,EVENT,"Paris 2024 was the first Olympics in history to reach full gender parity on the field of play, with equal numbers of male and female athletes.[12]",https://en.wikipedia.org/wiki/2024_Summer_Olympics
Boston,GPE,surpass,Los Angeles,GPE,"Boston surpassed Los Angeles, San Francisco, and Washington, D.C., for the official U.S. bid.",https://en.wikipedia.org/wiki/2024_Summer_Olympics
